"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2987","User login with wrong email or password","LMS system","Sun Dec 14 19:17:27 UTC 2025","passed","Sun Dec 14 19:17:30 UTC 2025","Authorization","Authentication","",""
"","4442","User login with wrong email or password","LMS system","Sun Dec 14 19:17:22 UTC 2025","passed","Sun Dec 14 19:17:26 UTC 2025","Authorization","Authentication","",""
"","15504","User login with correct email or password","LMS system","Sun Dec 14 19:17:09 UTC 2025","passed","Sun Dec 14 19:17:24 UTC 2025","Authorization","Authentication","",""
"","3219","test_dashboard_displaying[chromium]","LMS system","Sun Dec 14 19:17:26 UTC 2025","passed","Sun Dec 14 19:17:30 UTC 2025","Dashboard","Dashboard","",""
"","8634","Create course and edit his information","LMS system","Sun Dec 14 19:17:18 UTC 2025","passed","Sun Dec 14 19:17:27 UTC 2025","Courses","Courses","",""
"","2818","test_dashboard_displaying[webkit]","LMS system","Sun Dec 14 19:17:29 UTC 2025","passed","Sun Dec 14 19:17:32 UTC 2025","Dashboard","Dashboard","",""
"","2584","User login with wrong email or password","LMS system","Sun Dec 14 19:17:08 UTC 2025","passed","Sun Dec 14 19:17:11 UTC 2025","Authorization","Authentication","",""
"","5126","Create course","LMS system","Sun Dec 14 19:17:11 UTC 2025","passed","Sun Dec 14 19:17:17 UTC 2025","Courses","Courses","",""
"","3205","User login with wrong email or password","LMS system","Sun Dec 14 19:17:16 UTC 2025","passed","Sun Dec 14 19:17:19 UTC 2025","Authorization","Authentication","",""
"","9781","Create course and edit his information","LMS system","Sun Dec 14 19:17:20 UTC 2025","passed","Sun Dec 14 19:17:29 UTC 2025","Courses","Courses","",""
"","2985","Check displaying of empty courses list","LMS system","Sun Dec 14 19:17:15 UTC 2025","passed","Sun Dec 14 19:17:18 UTC 2025","Courses","Courses","",""
"","3264","Navigate from authorization to registration","LMS system","Sun Dec 14 19:17:09 UTC 2025","passed","Sun Dec 14 19:17:12 UTC 2025","Authorization","Authentication","",""
"","2313","Check displaying of empty courses list","LMS system","Sun Dec 14 19:17:30 UTC 2025","passed","Sun Dec 14 19:17:32 UTC 2025","Courses","Courses","",""
"","2637","User login with wrong email or password","LMS system","Sun Dec 14 19:17:05 UTC 2025","passed","Sun Dec 14 19:17:08 UTC 2025","Authorization","Authentication","",""
"","2487","Navigate from authorization to registration","LMS system","Sun Dec 14 19:17:05 UTC 2025","passed","Sun Dec 14 19:17:08 UTC 2025","Authorization","Authentication","",""
"","6826","Create course","LMS system","Sun Dec 14 19:17:18 UTC 2025","passed","Sun Dec 14 19:17:24 UTC 2025","Courses","Courses","",""
"","2001","Registration with correct email, username and password","LMS system","Sun Dec 14 19:17:31 UTC 2025","passed","Sun Dec 14 19:17:33 UTC 2025","Authorization","Authentication","",""
"","2640","User login with wrong email or password","LMS system","Sun Dec 14 19:17:12 UTC 2025","passed","Sun Dec 14 19:17:15 UTC 2025","Authorization","Authentication","",""
"","1565","Registration with correct email, username and password","LMS system","Sun Dec 14 19:17:34 UTC 2025","passed","Sun Dec 14 19:17:35 UTC 2025","Authorization","Authentication","",""
"","5442","User login with correct email or password","LMS system","Sun Dec 14 19:17:05 UTC 2025","passed","Sun Dec 14 19:17:11 UTC 2025","Authorization","Authentication","",""
