"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1521","Registration with correct email, username and password","LMS system","Fri Nov 21 15:47:04 UTC 2025","passed","Fri Nov 21 15:47:06 UTC 2025","Authorization","Authentication","",""
"","2282","Create course","LMS system","Fri Nov 21 15:47:07 UTC 2025","passed","Fri Nov 21 15:47:10 UTC 2025","Courses","Courses","",""
"","1842","User login with wrong email or password","LMS system","Fri Nov 21 15:46:59 UTC 2025","passed","Fri Nov 21 15:47:01 UTC 2025","Authorization","Authentication","",""
"","1896","User login with wrong email or password","LMS system","Fri Nov 21 15:46:59 UTC 2025","passed","Fri Nov 21 15:47:01 UTC 2025","Authorization","Authentication","",""
"","1357","User login with wrong email or password","LMS system","Fri Nov 21 15:47:01 UTC 2025","passed","Fri Nov 21 15:47:02 UTC 2025","Authorization","Authentication","",""
"","1532","Check displaying of empty courses list","LMS system","Fri Nov 21 15:47:06 UTC 2025","passed","Fri Nov 21 15:47:08 UTC 2025","Courses","Courses","",""
"","1769","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 15:47:10 UTC 2025","passed","Fri Nov 21 15:47:12 UTC 2025","Dashboard","Dashboard","",""
"","2782","User login with correct email or password","LMS system","Fri Nov 21 15:47:01 UTC 2025","passed","Fri Nov 21 15:47:04 UTC 2025","Authorization","Authentication","",""
"","3403","Create course and edit his information","LMS system","Fri Nov 21 15:47:08 UTC 2025","passed","Fri Nov 21 15:47:11 UTC 2025","Courses","Courses","",""
"","1436","Navigate from authorization to registration","LMS system","Fri Nov 21 15:47:03 UTC 2025","passed","Fri Nov 21 15:47:04 UTC 2025","Authorization","Authentication","",""
