"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1635","User login with wrong email or password","LMS system","Fri Nov 21 16:21:29 UTC 2025","passed","Fri Nov 21 16:21:31 UTC 2025","Authorization","Authentication","",""
"","1473","Navigate from authorization to registration","LMS system","Fri Nov 21 16:21:35 UTC 2025","passed","Fri Nov 21 16:21:37 UTC 2025","Authorization","Authentication","",""
"","3570","Create course and edit his information","LMS system","Fri Nov 21 16:21:39 UTC 2025","passed","Fri Nov 21 16:21:43 UTC 2025","Courses","Courses","",""
"","2093","Create course","LMS system","Fri Nov 21 16:21:38 UTC 2025","passed","Fri Nov 21 16:21:40 UTC 2025","Courses","Courses","",""
"","1389","Check displaying of empty courses list","LMS system","Fri Nov 21 16:21:38 UTC 2025","passed","Fri Nov 21 16:21:39 UTC 2025","Courses","Courses","",""
"","1931","Registration with correct email, username and password","LMS system","Fri Nov 21 16:21:34 UTC 2025","passed","Fri Nov 21 16:21:36 UTC 2025","Authorization","Authentication","",""
"","1931","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 16:21:41 UTC 2025","passed","Fri Nov 21 16:21:43 UTC 2025","Dashboard","Dashboard","",""
"","1706","User login with wrong email or password","LMS system","Fri Nov 21 16:21:32 UTC 2025","passed","Fri Nov 21 16:21:33 UTC 2025","Authorization","Authentication","",""
"","1940","User login with wrong email or password","LMS system","Fri Nov 21 16:21:29 UTC 2025","passed","Fri Nov 21 16:21:31 UTC 2025","Authorization","Authentication","",""
"","3334","User login with correct email or password","LMS system","Fri Nov 21 16:21:31 UTC 2025","passed","Fri Nov 21 16:21:35 UTC 2025","Authorization","Authentication","",""
