"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1648","User login with wrong email or password","LMS system","Fri Nov 21 16:02:00 UTC 2025","passed","Fri Nov 21 16:02:01 UTC 2025","Authorization","Authentication","",""
"","1638","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 16:02:11 UTC 2025","passed","Fri Nov 21 16:02:13 UTC 2025","Dashboard","Dashboard","",""
"","2347","Create course","LMS system","Fri Nov 21 16:02:08 UTC 2025","passed","Fri Nov 21 16:02:10 UTC 2025","Courses","Courses","",""
"","3450","Create course and edit his information","LMS system","Fri Nov 21 16:02:08 UTC 2025","passed","Fri Nov 21 16:02:12 UTC 2025","Courses","Courses","",""
"","1295","Check displaying of empty courses list","LMS system","Fri Nov 21 16:02:07 UTC 2025","passed","Fri Nov 21 16:02:08 UTC 2025","Courses","Courses","",""
"","2822","User login with correct email or password","LMS system","Fri Nov 21 16:02:02 UTC 2025","passed","Fri Nov 21 16:02:05 UTC 2025","Authorization","Authentication","",""
"","1551","Registration with correct email, username and password","LMS system","Fri Nov 21 16:02:05 UTC 2025","passed","Fri Nov 21 16:02:06 UTC 2025","Authorization","Authentication","",""
"","1706","User login with wrong email or password","LMS system","Fri Nov 21 16:02:00 UTC 2025","passed","Fri Nov 21 16:02:02 UTC 2025","Authorization","Authentication","",""
"","1465","User login with wrong email or password","LMS system","Fri Nov 21 16:02:02 UTC 2025","passed","Fri Nov 21 16:02:03 UTC 2025","Authorization","Authentication","",""
"","1500","Navigate from authorization to registration","LMS system","Fri Nov 21 16:02:04 UTC 2025","passed","Fri Nov 21 16:02:05 UTC 2025","Authorization","Authentication","",""
