"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2164","User login with wrong email or password","LMS system","Tue Dec 02 18:24:12 UTC 2025","passed","Tue Dec 02 18:24:15 UTC 2025","Authorization","Authentication","",""
"","2401","Registration with correct email, username and password","LMS system","Tue Dec 02 18:24:30 UTC 2025","passed","Tue Dec 02 18:24:32 UTC 2025","Authorization","Authentication","",""
"","3516","User login with wrong email or password","LMS system","Tue Dec 02 18:24:21 UTC 2025","passed","Tue Dec 02 18:24:25 UTC 2025","Authorization","Authentication","",""
"","4390","User login with correct email or password","LMS system","Tue Dec 02 18:24:07 UTC 2025","passed","Tue Dec 02 18:24:11 UTC 2025","Authorization","Authentication","",""
"","6348","Create course and edit his information","LMS system","Tue Dec 02 18:24:18 UTC 2025","passed","Tue Dec 02 18:24:24 UTC 2025","Courses","Courses","",""
"","16325","User login with correct email or password","LMS system","Tue Dec 02 18:24:13 UTC 2025","passed","Tue Dec 02 18:24:29 UTC 2025","Authorization","Authentication","",""
"","12579","Create course and edit his information","LMS system","Tue Dec 02 18:24:19 UTC 2025","passed","Tue Dec 02 18:24:32 UTC 2025","Courses","Courses","",""
"","2788","test_dashboard_displaying[chromium]","LMS system","Tue Dec 02 18:24:29 UTC 2025","passed","Tue Dec 02 18:24:32 UTC 2025","Dashboard","Dashboard","",""
"","3453","User login with wrong email or password","LMS system","Tue Dec 02 18:24:26 UTC 2025","passed","Tue Dec 02 18:24:29 UTC 2025","Authorization","Authentication","",""
"","6530","Create course","LMS system","Tue Dec 02 18:24:21 UTC 2025","passed","Tue Dec 02 18:24:28 UTC 2025","Courses","Courses","",""
"","2203","Navigate from authorization to registration","LMS system","Tue Dec 02 18:24:07 UTC 2025","passed","Tue Dec 02 18:24:09 UTC 2025","Authorization","Authentication","",""
"","2451","Check displaying of empty courses list","LMS system","Tue Dec 02 18:24:14 UTC 2025","passed","Tue Dec 02 18:24:17 UTC 2025","Courses","Courses","",""
"","3051","test_dashboard_displaying[webkit]","LMS system","Tue Dec 02 18:24:33 UTC 2025","passed","Tue Dec 02 18:24:36 UTC 2025","Dashboard","Dashboard","",""
"","2982","Navigate from authorization to registration","LMS system","Tue Dec 02 18:24:13 UTC 2025","passed","Tue Dec 02 18:24:16 UTC 2025","Authorization","Authentication","",""
"","3405","User login with wrong email or password","LMS system","Tue Dec 02 18:24:16 UTC 2025","passed","Tue Dec 02 18:24:19 UTC 2025","Authorization","Authentication","",""
"","1817","User login with wrong email or password","LMS system","Tue Dec 02 18:24:10 UTC 2025","passed","Tue Dec 02 18:24:12 UTC 2025","Authorization","Authentication","",""
"","4756","Create course","LMS system","Tue Dec 02 18:24:12 UTC 2025","passed","Tue Dec 02 18:24:17 UTC 2025","Courses","Courses","",""
"","2591","User login with wrong email or password","LMS system","Tue Dec 02 18:24:07 UTC 2025","passed","Tue Dec 02 18:24:10 UTC 2025","Authorization","Authentication","",""
"","2736","Registration with correct email, username and password","LMS system","Tue Dec 02 18:24:33 UTC 2025","passed","Tue Dec 02 18:24:36 UTC 2025","Authorization","Authentication","",""
"","1699","Check displaying of empty courses list","LMS system","Tue Dec 02 18:24:33 UTC 2025","passed","Tue Dec 02 18:24:35 UTC 2025","Courses","Courses","",""
