"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1447","User login with wrong email or password","LMS system","Fri Nov 21 18:24:55 UTC 2025","passed","Fri Nov 21 18:24:57 UTC 2025","Authorization","Authentication","",""
"","1531","User login with wrong email or password","LMS system","Fri Nov 21 18:24:53 UTC 2025","passed","Fri Nov 21 18:24:55 UTC 2025","Authorization","Authentication","",""
"","1804","User login with wrong email or password","LMS system","Fri Nov 21 18:24:51 UTC 2025","passed","Fri Nov 21 18:24:53 UTC 2025","Authorization","Authentication","",""
"","1553","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 18:25:03 UTC 2025","passed","Fri Nov 21 18:25:05 UTC 2025","Dashboard","Dashboard","",""
"","2417","Create course","LMS system","Fri Nov 21 18:25:00 UTC 2025","passed","Fri Nov 21 18:25:03 UTC 2025","Courses","Courses","",""
"","1444","Check displaying of empty courses list","LMS system","Fri Nov 21 18:24:58 UTC 2025","passed","Fri Nov 21 18:25:00 UTC 2025","Courses","Courses","",""
"","3284","Create course and edit his information","LMS system","Fri Nov 21 18:25:00 UTC 2025","passed","Fri Nov 21 18:25:03 UTC 2025","Courses","Courses","",""
"","1637","Registration with correct email, username and password","LMS system","Fri Nov 21 18:24:57 UTC 2025","passed","Fri Nov 21 18:24:59 UTC 2025","Authorization","Authentication","",""
"","3181","User login with correct email or password","LMS system","Fri Nov 21 18:24:51 UTC 2025","passed","Fri Nov 21 18:24:54 UTC 2025","Authorization","Authentication","",""
"","1593","Navigate from authorization to registration","LMS system","Fri Nov 21 18:24:55 UTC 2025","passed","Fri Nov 21 18:24:56 UTC 2025","Authorization","Authentication","",""
