"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2512","Create course","LMS system","Fri Nov 21 16:46:26 UTC 2025","passed","Fri Nov 21 16:46:29 UTC 2025","Courses","Courses","",""
"","1308","Check displaying of empty courses list","LMS system","Fri Nov 21 16:46:24 UTC 2025","passed","Fri Nov 21 16:46:25 UTC 2025","Courses","Courses","",""
"","1439","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 16:46:29 UTC 2025","passed","Fri Nov 21 16:46:31 UTC 2025","Dashboard","Dashboard","",""
"","1328","User login with wrong email or password","LMS system","Fri Nov 21 16:46:22 UTC 2025","passed","Fri Nov 21 16:46:23 UTC 2025","Authorization","Authentication","",""
"","1527","Registration with correct email, username and password","LMS system","Fri Nov 21 16:46:23 UTC 2025","passed","Fri Nov 21 16:46:25 UTC 2025","Authorization","Authentication","",""
"","3236","Create course and edit his information","LMS system","Fri Nov 21 16:46:25 UTC 2025","passed","Fri Nov 21 16:46:28 UTC 2025","Courses","Courses","",""
"","1633","User login with wrong email or password","LMS system","Fri Nov 21 16:46:20 UTC 2025","passed","Fri Nov 21 16:46:21 UTC 2025","Authorization","Authentication","",""
"","2842","User login with correct email or password","LMS system","Fri Nov 21 16:46:18 UTC 2025","passed","Fri Nov 21 16:46:20 UTC 2025","Authorization","Authentication","",""
"","1337","Navigate from authorization to registration","LMS system","Fri Nov 21 16:46:21 UTC 2025","passed","Fri Nov 21 16:46:22 UTC 2025","Authorization","Authentication","",""
"","1613","User login with wrong email or password","LMS system","Fri Nov 21 16:46:18 UTC 2025","passed","Fri Nov 21 16:46:19 UTC 2025","Authorization","Authentication","",""
