"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3037","test_dashboard_displaying[webkit]","LMS system","Tue Dec 02 17:46:00 UTC 2025","passed","Tue Dec 02 17:46:03 UTC 2025","Dashboard","Dashboard","",""
"","2662","User login with wrong email or password","LMS system","Tue Dec 02 17:45:35 UTC 2025","passed","Tue Dec 02 17:45:38 UTC 2025","Authorization","Authentication","",""
"","12209","Create course and edit his information","LMS system","Tue Dec 02 17:45:46 UTC 2025","passed","Tue Dec 02 17:45:58 UTC 2025","Courses","Courses","",""
"","3076","User login with wrong email or password","LMS system","Tue Dec 02 17:45:49 UTC 2025","passed","Tue Dec 02 17:45:52 UTC 2025","Authorization","Authentication","",""
"","2165","Navigate from authorization to registration","LMS system","Tue Dec 02 17:45:33 UTC 2025","passed","Tue Dec 02 17:45:35 UTC 2025","Authorization","Authentication","",""
"","1979","User login with wrong email or password","LMS system","Tue Dec 02 17:45:33 UTC 2025","passed","Tue Dec 02 17:45:35 UTC 2025","Authorization","Authentication","",""
"","7578","Create course and edit his information","LMS system","Tue Dec 02 17:45:45 UTC 2025","passed","Tue Dec 02 17:45:53 UTC 2025","Courses","Courses","",""
"","2881","User login with wrong email or password","LMS system","Tue Dec 02 17:45:39 UTC 2025","passed","Tue Dec 02 17:45:42 UTC 2025","Authorization","Authentication","",""
"","2541","Registration with correct email, username and password","LMS system","Tue Dec 02 17:45:58 UTC 2025","passed","Tue Dec 02 17:46:01 UTC 2025","Authorization","Authentication","",""
"","17558","User login with correct email or password","LMS system","Tue Dec 02 17:45:37 UTC 2025","passed","Tue Dec 02 17:45:55 UTC 2025","Authorization","Authentication","",""
"","3052","Navigate from authorization to registration","LMS system","Tue Dec 02 17:45:37 UTC 2025","passed","Tue Dec 02 17:45:40 UTC 2025","Authorization","Authentication","",""
"","3080","Check displaying of empty courses list","LMS system","Tue Dec 02 17:45:41 UTC 2025","passed","Tue Dec 02 17:45:44 UTC 2025","Courses","Courses","",""
"","4416","User login with correct email or password","LMS system","Tue Dec 02 17:45:33 UTC 2025","passed","Tue Dec 02 17:45:37 UTC 2025","Authorization","Authentication","",""
"","7715","Create course","LMS system","Tue Dec 02 17:45:46 UTC 2025","passed","Tue Dec 02 17:45:54 UTC 2025","Courses","Courses","",""
"","3057","User login with wrong email or password","LMS system","Tue Dec 02 17:45:43 UTC 2025","passed","Tue Dec 02 17:45:47 UTC 2025","Authorization","Authentication","",""
"","2266","Check displaying of empty courses list","LMS system","Tue Dec 02 17:45:59 UTC 2025","passed","Tue Dec 02 17:46:02 UTC 2025","Courses","Courses","",""
"","2671","test_dashboard_displaying[chromium]","LMS system","Tue Dec 02 17:45:55 UTC 2025","passed","Tue Dec 02 17:45:58 UTC 2025","Dashboard","Dashboard","",""
"","3456","User login with wrong email or password","LMS system","Tue Dec 02 17:45:54 UTC 2025","passed","Tue Dec 02 17:45:58 UTC 2025","Authorization","Authentication","",""
"","2558","Registration with correct email, username and password","LMS system","Tue Dec 02 17:46:02 UTC 2025","passed","Tue Dec 02 17:46:05 UTC 2025","Authorization","Authentication","",""
"","5686","Create course","LMS system","Tue Dec 02 17:45:38 UTC 2025","passed","Tue Dec 02 17:45:44 UTC 2025","Courses","Courses","",""
