"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2669","test_dashboard_displaying[chromium]","LMS system","Tue Dec 02 14:15:04 UTC 2025","passed","Tue Dec 02 14:15:06 UTC 2025","Dashboard","Dashboard","",""
"","2041","User login with wrong email or password","LMS system","Tue Dec 02 14:14:37 UTC 2025","passed","Tue Dec 02 14:14:39 UTC 2025","Authorization","Authentication","",""
"","3146","User login with wrong email or password","LMS system","Tue Dec 02 14:14:48 UTC 2025","passed","Tue Dec 02 14:14:51 UTC 2025","Authorization","Authentication","",""
"","2972","Create course","LMS system","Tue Dec 02 14:14:42 UTC 2025","passed","Tue Dec 02 14:14:44 UTC 2025","Courses","Courses","",""
"","1895","User login with wrong email or password","LMS system","Tue Dec 02 14:14:40 UTC 2025","passed","Tue Dec 02 14:14:42 UTC 2025","Authorization","Authentication","",""
"","2540","Create course and edit his information","LMS system","Tue Dec 02 14:14:45 UTC 2025","passed","Tue Dec 02 14:14:47 UTC 2025","Courses","Courses","",""
"","1668","Check displaying of empty courses list","LMS system","Tue Dec 02 14:14:43 UTC 2025","passed","Tue Dec 02 14:14:45 UTC 2025","Courses","Courses","",""
"","2611","Registration with correct email, username and password","LMS system","Tue Dec 02 14:15:03 UTC 2025","passed","Tue Dec 02 14:15:06 UTC 2025","Authorization","Authentication","",""
"","3616","Navigate from authorization to registration","LMS system","Tue Dec 02 14:14:48 UTC 2025","passed","Tue Dec 02 14:14:52 UTC 2025","Authorization","Authentication","",""
"","1764","Registration with correct email, username and password","LMS system","Tue Dec 02 14:15:07 UTC 2025","passed","Tue Dec 02 14:15:09 UTC 2025","Authorization","Authentication","",""
"","1882","Navigate from authorization to registration","LMS system","Tue Dec 02 14:14:37 UTC 2025","passed","Tue Dec 02 14:14:39 UTC 2025","Authorization","Authentication","",""
"","13599","Create course and edit his information","LMS system","Tue Dec 02 14:14:49 UTC 2025","passed","Tue Dec 02 14:15:02 UTC 2025","Courses","Courses","",""
"","2063","Check displaying of empty courses list","LMS system","Tue Dec 02 14:15:05 UTC 2025","passed","Tue Dec 02 14:15:07 UTC 2025","Courses","Courses","",""
"","4895","test_dashboard_displaying[webkit]","LMS system","Tue Dec 02 14:14:49 UTC 2025","passed","Tue Dec 02 14:14:54 UTC 2025","Dashboard","Dashboard","",""
"","1780","User login with wrong email or password","LMS system","Tue Dec 02 14:14:42 UTC 2025","passed","Tue Dec 02 14:14:44 UTC 2025","Authorization","Authentication","",""
"","6433","Create course","LMS system","Tue Dec 02 14:14:58 UTC 2025","passed","Tue Dec 02 14:15:04 UTC 2025","Courses","Courses","",""
"","3589","User login with correct email or password","LMS system","Tue Dec 02 14:14:37 UTC 2025","passed","Tue Dec 02 14:14:41 UTC 2025","Authorization","Authentication","",""
"","3152","User login with wrong email or password","LMS system","Tue Dec 02 14:15:00 UTC 2025","passed","Tue Dec 02 14:15:03 UTC 2025","Authorization","Authentication","",""
"","3655","User login with wrong email or password","LMS system","Tue Dec 02 14:14:54 UTC 2025","passed","Tue Dec 02 14:14:58 UTC 2025","Authorization","Authentication","",""
"","11841","User login with correct email or password","LMS system","Tue Dec 02 14:14:48 UTC 2025","passed","Tue Dec 02 14:15:00 UTC 2025","Authorization","Authentication","",""
