"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3990","test_dashboard_displaying[webkit]","LMS system","Sun Dec 14 17:26:03 UTC 2025","passed","Sun Dec 14 17:26:07 UTC 2025","Dashboard","Dashboard","",""
"","4718","User login with wrong email or password","LMS system","Sun Dec 14 17:25:56 UTC 2025","passed","Sun Dec 14 17:26:01 UTC 2025","Authorization","Authentication","",""
"","5084","Create course","LMS system","Sun Dec 14 17:25:46 UTC 2025","passed","Sun Dec 14 17:25:52 UTC 2025","Courses","Courses","",""
"","3618","Navigate from authorization to registration","LMS system","Sun Dec 14 17:25:45 UTC 2025","passed","Sun Dec 14 17:25:48 UTC 2025","Authorization","Authentication","",""
"","2087","Check displaying of empty courses list","LMS system","Sun Dec 14 17:25:51 UTC 2025","passed","Sun Dec 14 17:25:53 UTC 2025","Courses","Courses","",""
"","1665","Registration with correct email, username and password","LMS system","Sun Dec 14 17:26:08 UTC 2025","passed","Sun Dec 14 17:26:10 UTC 2025","Authorization","Authentication","",""
"","7782","Create course and edit his information","LMS system","Sun Dec 14 17:25:53 UTC 2025","passed","Sun Dec 14 17:26:01 UTC 2025","Courses","Courses","",""
"","1708","Registration with correct email, username and password","LMS system","Sun Dec 14 17:26:06 UTC 2025","passed","Sun Dec 14 17:26:08 UTC 2025","Authorization","Authentication","",""
"","3529","User login with wrong email or password","LMS system","Sun Dec 14 17:26:02 UTC 2025","passed","Sun Dec 14 17:26:05 UTC 2025","Authorization","Authentication","",""
"","2941","Check displaying of empty courses list","LMS system","Sun Dec 14 17:26:04 UTC 2025","passed","Sun Dec 14 17:26:07 UTC 2025","Courses","Courses","",""
"","5130","User login with correct email or password","LMS system","Sun Dec 14 17:25:41 UTC 2025","passed","Sun Dec 14 17:25:46 UTC 2025","Authorization","Authentication","",""
"","1954","Navigate from authorization to registration","LMS system","Sun Dec 14 17:25:41 UTC 2025","passed","Sun Dec 14 17:25:43 UTC 2025","Authorization","Authentication","",""
"","3164","test_dashboard_displaying[chromium]","LMS system","Sun Dec 14 17:26:01 UTC 2025","passed","Sun Dec 14 17:26:04 UTC 2025","Dashboard","Dashboard","",""
"","2551","User login with wrong email or password","LMS system","Sun Dec 14 17:25:44 UTC 2025","passed","Sun Dec 14 17:25:47 UTC 2025","Authorization","Authentication","",""
"","11048","Create course and edit his information","LMS system","Sun Dec 14 17:25:55 UTC 2025","passed","Sun Dec 14 17:26:06 UTC 2025","Courses","Courses","",""
"","7153","Create course","LMS system","Sun Dec 14 17:25:53 UTC 2025","passed","Sun Dec 14 17:26:00 UTC 2025","Courses","Courses","",""
"","13386","User login with correct email or password","LMS system","Sun Dec 14 17:25:45 UTC 2025","passed","Sun Dec 14 17:25:58 UTC 2025","Authorization","Authentication","",""
"","2879","User login with wrong email or password","LMS system","Sun Dec 14 17:25:51 UTC 2025","passed","Sun Dec 14 17:25:54 UTC 2025","Authorization","Authentication","",""
"","2467","User login with wrong email or password","LMS system","Sun Dec 14 17:25:47 UTC 2025","passed","Sun Dec 14 17:25:50 UTC 2025","Authorization","Authentication","",""
"","2467","User login with wrong email or password","LMS system","Sun Dec 14 17:25:41 UTC 2025","passed","Sun Dec 14 17:25:44 UTC 2025","Authorization","Authentication","",""
