"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10261","Create course and edit his information","LMS system","Sat Dec 13 19:19:47 UTC 2025","passed","Sat Dec 13 19:19:57 UTC 2025","Courses","Courses","",""
"","2369","test_dashboard_displaying[chromium]","LMS system","Sat Dec 13 19:19:57 UTC 2025","passed","Sat Dec 13 19:20:00 UTC 2025","Dashboard","Dashboard","",""
"","2527","Check displaying of empty courses list","LMS system","Sat Dec 13 19:19:42 UTC 2025","passed","Sat Dec 13 19:19:44 UTC 2025","Courses","Courses","",""
"","6914","Create course and edit his information","LMS system","Sat Dec 13 19:19:46 UTC 2025","passed","Sat Dec 13 19:19:53 UTC 2025","Courses","Courses","",""
"","2812","Registration with correct email, username and password","LMS system","Sat Dec 13 19:19:59 UTC 2025","passed","Sat Dec 13 19:20:02 UTC 2025","Authorization","Authentication","",""
"","8779","Create course","LMS system","Sat Dec 13 19:19:48 UTC 2025","passed","Sat Dec 13 19:19:56 UTC 2025","Courses","Courses","",""
"","5352","Create course","LMS system","Sat Dec 13 19:19:39 UTC 2025","passed","Sat Dec 13 19:19:45 UTC 2025","Courses","Courses","",""
"","3122","User login with wrong email or password","LMS system","Sat Dec 13 19:19:45 UTC 2025","passed","Sat Dec 13 19:19:48 UTC 2025","Authorization","Authentication","",""
"","2000","User login with wrong email or password","LMS system","Sat Dec 13 19:19:38 UTC 2025","passed","Sat Dec 13 19:19:40 UTC 2025","Authorization","Authentication","",""
"","1611","Registration with correct email, username and password","LMS system","Sat Dec 13 19:20:03 UTC 2025","passed","Sat Dec 13 19:20:04 UTC 2025","Authorization","Authentication","",""
"","16363","User login with correct email or password","LMS system","Sat Dec 13 19:19:39 UTC 2025","passed","Sat Dec 13 19:19:56 UTC 2025","Authorization","Authentication","",""
"","3100","Navigate from authorization to registration","LMS system","Sat Dec 13 19:19:39 UTC 2025","passed","Sat Dec 13 19:19:42 UTC 2025","Authorization","Authentication","",""
"","2644","Check displaying of empty courses list","LMS system","Sat Dec 13 19:20:00 UTC 2025","passed","Sat Dec 13 19:20:03 UTC 2025","Courses","Courses","",""
"","2394","User login with wrong email or password","LMS system","Sat Dec 13 19:19:40 UTC 2025","passed","Sat Dec 13 19:19:43 UTC 2025","Authorization","Authentication","",""
"","3842","User login with wrong email or password","LMS system","Sat Dec 13 19:19:50 UTC 2025","passed","Sat Dec 13 19:19:54 UTC 2025","Authorization","Authentication","",""
"","3931","User login with correct email or password","LMS system","Sat Dec 13 19:19:35 UTC 2025","passed","Sat Dec 13 19:19:39 UTC 2025","Authorization","Authentication","",""
"","2170","Navigate from authorization to registration","LMS system","Sat Dec 13 19:19:35 UTC 2025","passed","Sat Dec 13 19:19:37 UTC 2025","Authorization","Authentication","",""
"","2368","User login with wrong email or password","LMS system","Sat Dec 13 19:19:35 UTC 2025","passed","Sat Dec 13 19:19:37 UTC 2025","Authorization","Authentication","",""
"","3052","User login with wrong email or password","LMS system","Sat Dec 13 19:19:56 UTC 2025","passed","Sat Dec 13 19:19:59 UTC 2025","Authorization","Authentication","",""
"","3712","test_dashboard_displaying[webkit]","LMS system","Sat Dec 13 19:19:59 UTC 2025","passed","Sat Dec 13 19:20:03 UTC 2025","Dashboard","Dashboard","",""
