"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1677","User login with wrong email or password","LMS system","Fri Nov 21 16:24:24 UTC 2025","passed","Fri Nov 21 16:24:26 UTC 2025","Authorization","Authentication","",""
"","1504","User login with wrong email or password","LMS system","Fri Nov 21 16:24:26 UTC 2025","passed","Fri Nov 21 16:24:28 UTC 2025","Authorization","Authentication","",""
"","3799","Create course and edit his information","LMS system","Fri Nov 21 16:24:33 UTC 2025","passed","Fri Nov 21 16:24:37 UTC 2025","Courses","Courses","",""
"","1782","Registration with correct email, username and password","LMS system","Fri Nov 21 16:24:28 UTC 2025","passed","Fri Nov 21 16:24:30 UTC 2025","Authorization","Authentication","",""
"","1382","Navigate from authorization to registration","LMS system","Fri Nov 21 16:24:29 UTC 2025","passed","Fri Nov 21 16:24:31 UTC 2025","Authorization","Authentication","",""
"","1952","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 16:24:35 UTC 2025","passed","Fri Nov 21 16:24:37 UTC 2025","Dashboard","Dashboard","",""
"","1646","User login with wrong email or password","LMS system","Fri Nov 21 16:24:24 UTC 2025","passed","Fri Nov 21 16:24:26 UTC 2025","Authorization","Authentication","",""
"","2314","Create course","LMS system","Fri Nov 21 16:24:32 UTC 2025","passed","Fri Nov 21 16:24:35 UTC 2025","Courses","Courses","",""
"","1430","Check displaying of empty courses list","LMS system","Fri Nov 21 16:24:32 UTC 2025","passed","Fri Nov 21 16:24:33 UTC 2025","Courses","Courses","",""
"","2777","User login with correct email or password","LMS system","Fri Nov 21 16:24:26 UTC 2025","passed","Fri Nov 21 16:24:29 UTC 2025","Authorization","Authentication","",""
