"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2998","Registration with correct email, username and password","LMS system","Sun Dec 14 06:03:13 UTC 2025","passed","Sun Dec 14 06:03:16 UTC 2025","Authorization","Authentication","",""
"","6641","Create course","LMS system","Sun Dec 14 06:03:04 UTC 2025","passed","Sun Dec 14 06:03:11 UTC 2025","Courses","Courses","",""
"","1510","test_dashboard_displaying[chromium]","LMS system","Sun Dec 14 06:02:53 UTC 2025","passed","Sun Dec 14 06:02:55 UTC 2025","Dashboard","Dashboard","",""
"","1958","Navigate from authorization to registration","LMS system","Sun Dec 14 06:02:42 UTC 2025","passed","Sun Dec 14 06:02:44 UTC 2025","Authorization","Authentication","",""
"","13461","Create course and edit his information","LMS system","Sun Dec 14 06:02:56 UTC 2025","passed","Sun Dec 14 06:03:10 UTC 2025","Courses","Courses","",""
"","2626","Create course and edit his information","LMS system","Sun Dec 14 06:02:50 UTC 2025","passed","Sun Dec 14 06:02:53 UTC 2025","Courses","Courses","",""
"","4049","User login with correct email or password","LMS system","Sun Dec 14 06:02:42 UTC 2025","passed","Sun Dec 14 06:02:46 UTC 2025","Authorization","Authentication","",""
"","2670","User login with wrong email or password","LMS system","Sun Dec 14 06:03:01 UTC 2025","passed","Sun Dec 14 06:03:04 UTC 2025","Authorization","Authentication","",""
"","3122","Create course","LMS system","Sun Dec 14 06:02:47 UTC 2025","passed","Sun Dec 14 06:02:50 UTC 2025","Courses","Courses","",""
"","3329","User login with wrong email or password","LMS system","Sun Dec 14 06:03:05 UTC 2025","passed","Sun Dec 14 06:03:08 UTC 2025","Authorization","Authentication","",""
"","1792","Check displaying of empty courses list","LMS system","Sun Dec 14 06:02:48 UTC 2025","passed","Sun Dec 14 06:02:50 UTC 2025","Courses","Courses","",""
"","1886","User login with wrong email or password","LMS system","Sun Dec 14 06:02:45 UTC 2025","passed","Sun Dec 14 06:02:47 UTC 2025","Authorization","Authentication","",""
"","3201","Navigate from authorization to registration","LMS system","Sun Dec 14 06:02:56 UTC 2025","passed","Sun Dec 14 06:02:59 UTC 2025","Authorization","Authentication","",""
"","3450","test_dashboard_displaying[webkit]","LMS system","Sun Dec 14 06:03:12 UTC 2025","passed","Sun Dec 14 06:03:16 UTC 2025","Dashboard","Dashboard","",""
"","1650","User login with wrong email or password","LMS system","Sun Dec 14 06:02:47 UTC 2025","passed","Sun Dec 14 06:02:49 UTC 2025","Authorization","Authentication","",""
"","11175","User login with correct email or password","LMS system","Sun Dec 14 06:02:56 UTC 2025","passed","Sun Dec 14 06:03:07 UTC 2025","Authorization","Authentication","",""
"","2329","User login with wrong email or password","LMS system","Sun Dec 14 06:02:42 UTC 2025","passed","Sun Dec 14 06:02:44 UTC 2025","Authorization","Authentication","",""
"","2455","Check displaying of empty courses list","LMS system","Sun Dec 14 06:03:12 UTC 2025","passed","Sun Dec 14 06:03:14 UTC 2025","Courses","Courses","",""
"","3124","User login with wrong email or password","LMS system","Sun Dec 14 06:02:56 UTC 2025","passed","Sun Dec 14 06:02:59 UTC 2025","Authorization","Authentication","",""
"","2691","Registration with correct email, username and password","LMS system","Sun Dec 14 06:03:09 UTC 2025","passed","Sun Dec 14 06:03:12 UTC 2025","Authorization","Authentication","",""
