"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1880","Navigate from authorization to registration","LMS system","Sat Nov 22 19:14:10 UTC 2025","passed","Sat Nov 22 19:14:12 UTC 2025","Authorization","Authentication","",""
"","1516","Registration with correct email, username and password","LMS system","Sat Nov 22 19:14:18 UTC 2025","passed","Sat Nov 22 19:14:20 UTC 2025","Authorization","Authentication","",""
"","2489","test_dashboard_displaying[chromium]","LMS system","Sat Nov 22 19:14:16 UTC 2025","passed","Sat Nov 22 19:14:18 UTC 2025","Dashboard","Dashboard","",""
"","2693","Create course and edit his information","LMS system","Sat Nov 22 19:14:19 UTC 2025","passed","Sat Nov 22 19:14:21 UTC 2025","Courses","Courses","",""
"","2486","Check displaying of empty courses list","LMS system","Sat Nov 22 19:14:13 UTC 2025","passed","Sat Nov 22 19:14:16 UTC 2025","Courses","Courses","",""
"","4264","Create course","LMS system","Sat Nov 22 19:14:13 UTC 2025","passed","Sat Nov 22 19:14:17 UTC 2025","Courses","Courses","",""
"","1833","User login with wrong email or password","LMS system","Sat Nov 22 19:14:16 UTC 2025","passed","Sat Nov 22 19:14:18 UTC 2025","Authorization","Authentication","",""
"","2052","User login with wrong email or password","LMS system","Sat Nov 22 19:14:14 UTC 2025","passed","Sat Nov 22 19:14:16 UTC 2025","Authorization","Authentication","",""
"","2507","User login with wrong email or password","LMS system","Sat Nov 22 19:14:10 UTC 2025","passed","Sat Nov 22 19:14:13 UTC 2025","Authorization","Authentication","",""
"","4474","User login with correct email or password","LMS system","Sat Nov 22 19:14:10 UTC 2025","passed","Sat Nov 22 19:14:15 UTC 2025","Authorization","Authentication","",""
