"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1679","User login with wrong email or password","LMS system","Fri Nov 21 17:23:53 UTC 2025","passed","Fri Nov 21 17:23:55 UTC 2025","Authorization","Authentication","",""
"","2086","User login with wrong email or password","LMS system","Fri Nov 21 17:23:51 UTC 2025","passed","Fri Nov 21 17:23:53 UTC 2025","Authorization","Authentication","",""
"","3459","Create course and edit his information","LMS system","Fri Nov 21 17:23:59 UTC 2025","passed","Fri Nov 21 17:24:03 UTC 2025","Courses","Courses","",""
"","1367","User login with wrong email or password","LMS system","Fri Nov 21 17:23:55 UTC 2025","passed","Fri Nov 21 17:23:56 UTC 2025","Authorization","Authentication","",""
"","1648","Registration with correct email, username and password","LMS system","Fri Nov 21 17:23:57 UTC 2025","passed","Fri Nov 21 17:23:58 UTC 2025","Authorization","Authentication","",""
"","1556","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 17:24:03 UTC 2025","passed","Fri Nov 21 17:24:05 UTC 2025","Dashboard","Dashboard","",""
"","1524","Navigate from authorization to registration","LMS system","Fri Nov 21 17:23:54 UTC 2025","passed","Fri Nov 21 17:23:56 UTC 2025","Authorization","Authentication","",""
"","3317","User login with correct email or password","LMS system","Fri Nov 21 17:23:51 UTC 2025","passed","Fri Nov 21 17:23:54 UTC 2025","Authorization","Authentication","",""
"","2478","Create course","LMS system","Fri Nov 21 17:24:00 UTC 2025","passed","Fri Nov 21 17:24:03 UTC 2025","Courses","Courses","",""
"","1539","Check displaying of empty courses list","LMS system","Fri Nov 21 17:23:58 UTC 2025","passed","Fri Nov 21 17:23:59 UTC 2025","Courses","Courses","",""
