"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9480","Create course and edit his information","LMS system","Tue Dec 02 17:41:11 UTC 2025","passed","Tue Dec 02 17:41:20 UTC 2025","Courses","Courses","",""
"","7248","Create course","LMS system","Tue Dec 02 17:41:13 UTC 2025","passed","Tue Dec 02 17:41:20 UTC 2025","Courses","Courses","",""
"","3232","Navigate from authorization to registration","LMS system","Tue Dec 02 17:41:04 UTC 2025","passed","Tue Dec 02 17:41:07 UTC 2025","Authorization","Authentication","",""
"","4472","test_dashboard_displaying[webkit]","LMS system","Tue Dec 02 17:41:19 UTC 2025","passed","Tue Dec 02 17:41:23 UTC 2025","Dashboard","Dashboard","",""
"","6324","Create course and edit his information","LMS system","Tue Dec 02 17:41:09 UTC 2025","passed","Tue Dec 02 17:41:15 UTC 2025","Courses","Courses","",""
"","2092","User login with wrong email or password","LMS system","Tue Dec 02 17:41:04 UTC 2025","passed","Tue Dec 02 17:41:06 UTC 2025","Authorization","Authentication","",""
"","3536","User login with wrong email or password","LMS system","Tue Dec 02 17:41:18 UTC 2025","passed","Tue Dec 02 17:41:21 UTC 2025","Authorization","Authentication","",""
"","4116","User login with correct email or password","LMS system","Tue Dec 02 17:40:59 UTC 2025","passed","Tue Dec 02 17:41:03 UTC 2025","Authorization","Authentication","",""
"","3127","User login with wrong email or password","LMS system","Tue Dec 02 17:41:07 UTC 2025","passed","Tue Dec 02 17:41:11 UTC 2025","Authorization","Authentication","",""
"","2570","Check displaying of empty courses list","LMS system","Tue Dec 02 17:41:06 UTC 2025","passed","Tue Dec 02 17:41:09 UTC 2025","Courses","Courses","",""
"","3583","User login with wrong email or password","LMS system","Tue Dec 02 17:41:12 UTC 2025","passed","Tue Dec 02 17:41:16 UTC 2025","Authorization","Authentication","",""
"","1820","User login with wrong email or password","LMS system","Tue Dec 02 17:41:01 UTC 2025","passed","Tue Dec 02 17:41:03 UTC 2025","Authorization","Authentication","",""
"","1541","Navigate from authorization to registration","LMS system","Tue Dec 02 17:40:59 UTC 2025","passed","Tue Dec 02 17:41:00 UTC 2025","Authorization","Authentication","",""
"","1783","Check displaying of empty courses list","LMS system","Tue Dec 02 17:41:23 UTC 2025","passed","Tue Dec 02 17:41:25 UTC 2025","Courses","Courses","",""
"","14053","User login with correct email or password","LMS system","Tue Dec 02 17:41:04 UTC 2025","passed","Tue Dec 02 17:41:18 UTC 2025","Authorization","Authentication","",""
"","4675","Create course","LMS system","Tue Dec 02 17:41:03 UTC 2025","passed","Tue Dec 02 17:41:08 UTC 2025","Courses","Courses","",""
"","2283","User login with wrong email or password","LMS system","Tue Dec 02 17:40:59 UTC 2025","passed","Tue Dec 02 17:41:01 UTC 2025","Authorization","Authentication","",""
"","2869","test_dashboard_displaying[chromium]","LMS system","Tue Dec 02 17:41:21 UTC 2025","passed","Tue Dec 02 17:41:24 UTC 2025","Dashboard","Dashboard","",""
"","1596","Registration with correct email, username and password","LMS system","Tue Dec 02 17:41:25 UTC 2025","passed","Tue Dec 02 17:41:26 UTC 2025","Authorization","Authentication","",""
"","2152","Registration with correct email, username and password","LMS system","Tue Dec 02 17:41:22 UTC 2025","passed","Tue Dec 02 17:41:24 UTC 2025","Authorization","Authentication","",""
