"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2880","User login with wrong email or password","LMS system","Sun Dec 14 20:04:29 UTC 2025","passed","Sun Dec 14 20:04:31 UTC 2025","Authorization","Authentication","",""
"","2881","User login with wrong email or password","LMS system","Sun Dec 14 20:04:39 UTC 2025","passed","Sun Dec 14 20:04:42 UTC 2025","Authorization","Authentication","",""
"","4466","test_dashboard_displaying[chromium]","LMS system","Sun Dec 14 20:04:35 UTC 2025","passed","Sun Dec 14 20:04:39 UTC 2025","Dashboard","Dashboard","",""
"","3458","Check displaying of empty courses list","LMS system","Sun Dec 14 20:04:43 UTC 2025","passed","Sun Dec 14 20:04:46 UTC 2025","Courses","Courses","",""
"","1986","Registration with correct email, username and password","LMS system","Sun Dec 14 20:04:46 UTC 2025","passed","Sun Dec 14 20:04:48 UTC 2025","Authorization","Authentication","",""
"","8491","Create course and edit his information","LMS system","Sun Dec 14 20:04:30 UTC 2025","passed","Sun Dec 14 20:04:38 UTC 2025","Courses","Courses","",""
"","2810","Registration with correct email, username and password","LMS system","Sun Dec 14 20:04:43 UTC 2025","passed","Sun Dec 14 20:04:45 UTC 2025","Authorization","Authentication","",""
"","2768","Check displaying of empty courses list","LMS system","Sun Dec 14 20:04:31 UTC 2025","passed","Sun Dec 14 20:04:34 UTC 2025","Courses","Courses","",""
"","3976","User login with wrong email or password","LMS system","Sun Dec 14 20:04:33 UTC 2025","passed","Sun Dec 14 20:04:37 UTC 2025","Authorization","Authentication","",""
"","2923","User login with wrong email or password","LMS system","Sun Dec 14 20:04:24 UTC 2025","passed","Sun Dec 14 20:04:27 UTC 2025","Authorization","Authentication","",""
"","1833","User login with wrong email or password","LMS system","Sun Dec 14 20:04:21 UTC 2025","passed","Sun Dec 14 20:04:23 UTC 2025","Authorization","Authentication","",""
"","6363","Create course and edit his information","LMS system","Sun Dec 14 20:04:40 UTC 2025","passed","Sun Dec 14 20:04:47 UTC 2025","Courses","Courses","",""
"","3053","Navigate from authorization to registration","LMS system","Sun Dec 14 20:04:22 UTC 2025","passed","Sun Dec 14 20:04:25 UTC 2025","Authorization","Authentication","",""
"","15195","User login with correct email or password","LMS system","Sun Dec 14 20:04:22 UTC 2025","passed","Sun Dec 14 20:04:37 UTC 2025","Authorization","Authentication","",""
"","3967","test_dashboard_displaying[webkit]","LMS system","Sun Dec 14 20:04:40 UTC 2025","passed","Sun Dec 14 20:04:44 UTC 2025","Dashboard","Dashboard","",""
"","5311","Create course","LMS system","Sun Dec 14 20:04:23 UTC 2025","passed","Sun Dec 14 20:04:29 UTC 2025","Courses","Courses","",""
"","7908","Create course","LMS system","Sun Dec 14 20:04:31 UTC 2025","passed","Sun Dec 14 20:04:38 UTC 2025","Courses","Courses","",""
"","2200","Navigate from authorization to registration","LMS system","Sun Dec 14 20:04:19 UTC 2025","passed","Sun Dec 14 20:04:21 UTC 2025","Authorization","Authentication","",""
"","7994","User login with correct email or password","LMS system","Sun Dec 14 20:04:19 UTC 2025","passed","Sun Dec 14 20:04:27 UTC 2025","Authorization","Authentication","",""
"","2231","User login with wrong email or password","LMS system","Sun Dec 14 20:04:19 UTC 2025","passed","Sun Dec 14 20:04:21 UTC 2025","Authorization","Authentication","",""
