"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3624","Create course and edit his information","LMS system","Fri Nov 21 17:18:43 UTC 2025","passed","Fri Nov 21 17:18:46 UTC 2025","Courses","Courses","",""
"","3344","User login with correct email or password","LMS system","Fri Nov 21 17:18:34 UTC 2025","passed","Fri Nov 21 17:18:38 UTC 2025","Authorization","Authentication","",""
"","1464","test_dashboard_displaying[chromium]","LMS system","Fri Nov 21 17:18:47 UTC 2025","passed","Fri Nov 21 17:18:48 UTC 2025","Dashboard","Dashboard","",""
"","1595","User login with wrong email or password","LMS system","Fri Nov 21 17:18:37 UTC 2025","passed","Fri Nov 21 17:18:38 UTC 2025","Authorization","Authentication","",""
"","2413","Create course","LMS system","Fri Nov 21 17:18:44 UTC 2025","passed","Fri Nov 21 17:18:46 UTC 2025","Courses","Courses","",""
"","2087","Registration with correct email, username and password","LMS system","Fri Nov 21 17:18:40 UTC 2025","passed","Fri Nov 21 17:18:42 UTC 2025","Authorization","Authentication","",""
"","1912","User login with wrong email or password","LMS system","Fri Nov 21 17:18:34 UTC 2025","passed","Fri Nov 21 17:18:36 UTC 2025","Authorization","Authentication","",""
"","1367","User login with wrong email or password","LMS system","Fri Nov 21 17:18:38 UTC 2025","passed","Fri Nov 21 17:18:40 UTC 2025","Authorization","Authentication","",""
"","1417","Check displaying of empty courses list","LMS system","Fri Nov 21 17:18:41 UTC 2025","passed","Fri Nov 21 17:18:42 UTC 2025","Courses","Courses","",""
"","1321","Navigate from authorization to registration","LMS system","Fri Nov 21 17:18:38 UTC 2025","passed","Fri Nov 21 17:18:39 UTC 2025","Authorization","Authentication","",""
